nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800204486,DOTAKONDOR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4643,COMERCIO,0.09,0.01,0.05,0.03,0.03,2022,12390714.682238001
800204625,CLAVE 2000 SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,6499,SERVICIOS,0.03,0,0.04,0.02,0.02,2022,25103649.530394
800204652,AGP REPRESENTACIONES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800205109,GOMEZ Y CIA SAS,SUPERSOCIEDADES,Costa Pacífica,NARIÑO,PASTO-NARIÑO,4541,COMERCIO,0.02,0,0.01,0,0,2022,25103649.530394
800205150,INFEREX S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4662,COMERCIO,0.02,0,0.02,0,0.01,2022,12390714.682238001
800205166,ROCALES Y CONCRETOS SOCIEDAD POR ACCIONES SIMPLIFICADA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4290,CONSTRUCCIÓN,0.05,0,0.06,0.04,0.03,2022,25103649.530394003
800205216,IMPORTADORA SERNA MACIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4664,COMERCIO,0.03,0,0.02,0.01,0.01,2022,12390714.682238001
800205416,PERCOS S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.06,0.01,0.04,0.03,0.02,2022,42415171.254237995
800205493,SUPREMO PROMOCIONES SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4690,COMERCIO,0.04,0.01,0.05,0,0.05,2022,23391888.622931
800205914,SOLUCIONES INTERALES UNION SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4663,COMERCIO,0.08,0.01,0.07,0.03,0.04,2022,42415171.254237995
800205946,IDEPLAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,2229,MANUFACTURA,0.04,0,0.04,0.02,0.01,2022,42415171.254237995
800206075,EDEXA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4649,COMERCIO,0.05,0,0.02,0.01,0.01,2022,42415171.254237995
800206234,CASAUTOS SA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4511,COMERCIO,0.05,0,0.03,0.01,0.02,2022,3307741.356668
